Frame,Time(s) (Seconds),Position_X (m),Position_Y (m),Position_Z (m),Velocity_X (m/s),Speed,Acceleration_X,Acc_Magnitude,Force_X,Force_Magnitude,Momentum_X,Momentum_Magnitude,Impact_Displacement,Backing_Displacement,Kinetic_Energy,Potential_Energy,Total_Energy,Event
26,0.433,-4.7638,5,0.75,0.5867,1.0163,0.21249999999999722,0.21249999999999722,0.04249999999999945,0.04249999999999945,1.1733,0.20326,0.2362,0.0,0.3442,14.715,15.0592,BEFORE
27,0.45,-4.754,5,0.75,0.59,1.049,0.19411764705882156,0.19411764705882156,0.03882352941176431,0.03882352941176431,1.18,0.2098,0.246,0.0,0.3481,14.715,15.0631,BEFORE
28,0.467,-4.7441,5,0.75,0.5933,1.0816,0.1941176470588281,0.1941176470588281,0.038823529411765624,0.038823529411765624,1.1867,0.21631999999999998,0.2559,0.0,0.352,14.715,15.067,BEFORE
29,0.483,-4.7342,5,0.75,0.5967,1.1143,0.21249999999999797,0.21249999999999797,0.042499999999999594,0.042499999999999594,1.1933,0.22286000000000003,0.2658,0.0,0.356,14.715,15.071,BEFORE
30,0.5,-4.7242,5,0.75,0.6,1.1469,0.19411764705882156,0.19411764705882156,0.03882352941176431,0.03882352941176431,1.2,0.22938000000000003,0.2758,0.0,0.36,14.715,15.075,BEFORE
31,0.517,-4.7141,5,0.75,0.6033,1.1796,0.19411764705882156,0.19411764705882156,0.03882352941176431,0.03882352941176431,1.2067,0.23592000000000002,0.2859,0.0,0.364,14.715,15.079,BEFORE
32,0.533,-4.704,5,0.75,0.6067,1.2122,0.21250000000000416,0.21250000000000416,0.042500000000000836,0.042500000000000836,1.2133,0.24244,0.296,0.0,0.368,14.715,15.083,BEFORE
33,0.55,-4.6938,5,0.75,0.61,1.2449,0.19411764705882156,0.19411764705882156,0.03882352941176431,0.03882352941176431,1.22,0.24897999999999998,0.3062,0.0,0.3721,14.715,15.0871,BEFORE
34,0.567,-4.6836,5,0.75,0.6133,1.2776,0.19411764705882284,0.19411764705882284,0.03882352941176457,0.03882352941176457,1.2267,0.25552,0.3164,0.0,0.3762,14.715,15.0912,BEFORE
35,0.583,-4.6733,5,0.75,0.6167,1.3102,0.21250000000000416,0.21250000000000416,0.042500000000000836,0.042500000000000836,1.2333,0.26204,0.3267,0.0,0.3803,14.715,15.0953,BEFORE
36,0.6,-4.663,5,0.75,0.62,1.3429,0.19411764705882156,0.19411764705882156,0.03882352941176431,0.03882352941176431,1.24,0.26858,0.337,0.0,0.3844,14.715,15.0994,BEFORE
37,0.617,-4.6526,5,0.75,0.6233,1.3755,0.19411764705882156,0.19411764705882156,0.03882352941176431,0.03882352941176431,1.2467,0.2751,0.3474,0.0,0.3885,14.715,15.1035,BEFORE
38,0.633,-4.6422,5,0.75,0.6267,1.4082,0.21250000000000416,0.21250000000000416,0.042500000000000836,0.042500000000000836,1.2533,0.28164,0.3578,0.0,0.3927,14.715,15.1077,BEFORE
39,0.65,-4.6317,5,0.75,0.63,1.4408,0.19411764705882156,0.19411764705882156,0.03882352941176431,0.03882352941176431,1.26,0.28816,0.3683,0.0,0.3969,14.715,15.1119,BEFORE
40,0.667,-4.6211,5,0.75,0.6333,1.4735,0.19411764705882156,0.19411764705882156,0.03882352941176431,0.03882352941176431,1.2667,0.2947,0.3789,0.0,0.4011,14.715,15.1161,BEFORE
41,0.683,-4.6105,5,0.75,0.6367,1.5061,0.21250000000000416,0.21250000000000416,0.042500000000000836,0.042500000000000836,1.2733,0.30122000000000004,0.3895,0.0,0.4053,14.715,15.1203,BEFORE
42,0.7,-4.5998,5,0.75,0.64,1.5388,0.19411764705882284,0.19411764705882284,0.03882352941176457,0.03882352941176457,1.28,0.30776000000000003,0.4002,0.0,0.4096,14.715,15.1246,BEFORE
43,0.717,-4.5891,5,0.75,0.6433,1.5714,0.19411764705882156,0.19411764705882156,0.03882352941176431,0.03882352941176431,1.2867,0.31428,0.4109,0.0,0.4139,14.715,15.1289,BEFORE
44,0.733,-4.5783,5,0.75,0.6467,1.6041,0.21250000000000416,0.21250000000000416,0.042500000000000836,0.042500000000000836,1.2933,0.32082000000000005,0.4217,0.0,0.4182,14.715,15.1332,BEFORE
45,0.75,-4.5675,5,0.75,0.65,1.6367,0.19411764705882156,0.19411764705882156,0.03882352941176431,0.03882352941176431,1.3,0.32734,0.4325,0.0,0.4225,14.715,15.1375,BEFORE
46,0.767,-4.5566,5,0.75,0.6533,1.6694,0.19411764705882156,0.19411764705882156,0.03882352941176431,0.03882352941176431,1.3067,0.33388,0.4434,0.0,0.4268,14.715,15.1418,BEFORE
47,0.783,-4.5457,5,0.75,0.6567,1.702,0.21249999999999722,0.21249999999999722,0.04249999999999945,0.04249999999999945,1.3133,0.34040000000000004,0.4543,0.0,0.4312,14.715,15.1462,BEFORE
48,0.8,-4.5347,5,0.75,0.66,1.7347,0.1941176470588281,0.1941176470588281,0.038823529411765624,0.038823529411765624,1.32,0.34694,0.4653,0.0,0.4356,14.715,15.1506,BEFORE
49,0.817,-4.5236,5,0.75,0.6633,1.7673,0.19411764705882284,0.19411764705882284,0.03882352941176457,0.03882352941176457,1.3267,0.35346000000000005,0.4764,0.0,0.44,14.715,15.155,BEFORE
50,0.833,-4.5236,5,0.75,-0.398,1.8,-66.33124999999995,66.33124999999995,-13.266249999999992,13.266249999999992,-0.796,0.36000000000000004,0.4764,0.0,0.1584,14.715,14.8734,IMPACT
51,0.85,-4.5299,5,0.75,-0.3781,1.14,1.1705882352941184,1.1705882352941184,0.23411764705882368,0.23411764705882368,-0.7562,0.22799999999999998,0.4701,0.0063,0.143,14.715,14.858,AFTER
52,0.867,-4.5359,5,0.75,-0.3592,1.083,1.1117647058823503,1.1117647058823503,0.2223529411764701,0.2223529411764701,-0.7184,0.21660000000000001,0.4641,0.0123,0.129,14.715,14.844,AFTER
